timestep,true_position_x,true_position_y,estimated_position_x,estimated_position_y,temperature_state,observation,action,reward,belief_entropy
0,2,0,0,0,2,2,2,1.0,6.214602470397949
1,2,0,0,0,2,2,0,1.0,5.145607948303223
2,1,0,0,0,2,2,2,0.30000001192092896,4.639379978179932
3,1,0,0,0,1,1,2,0.30000001192092896,4.904260158538818
4,1,0,0,0,1,1,2,0.30000001192092896,4.3808441162109375
5,1,0,0,0,1,1,0,0.10000000149011612,3.977911949157715
6,0,0,0,0,0,0,2,0.10000000149011612,4.283326148986816
7,0,0,0,0,0,0,2,0.10000000149011612,3.6376841068267822
8,0,0,0,0,0,0,2,0.10000000149011612,3.2048888206481934
9,0,0,0,0,0,0,2,0.10000000149011612,2.8977150917053223
10,0,0,0,0,0,0,2,0.10000000149011612,2.599372625350952
11,0,0,0,0,0,0,2,0.10000000149011612,2.2935681343078613
12,0,0,0,0,0,0,0,0.10000000149011612,2.273550033569336
13,0,0,0,0,0,0,0,0.30000001192092896,2.068284749984741
14,0,0,0,0,1,1,2,0.10000000149011612,2.5011281967163086
15,0,0,0,0,0,0,2,0.10000000149011612,2.081015110015869
16,0,0,0,0,0,0,2,0.10000000149011612,1.8688886165618896
17,0,0,0,0,0,0,0,0.10000000149011612,1.8295198678970337
18,0,0,0,0,0,0,0,0.10000000149011612,1.5778237581253052
19,0,0,0,0,0,0,2,0.10000000149011612,1.3126986026763916
20,0,0,0,0,0,0,0,0.10000000149011612,1.311408519744873
21,0,0,0,0,0,0,2,0.10000000149011612,1.0332900285720825
22,0,0,0,0,0,0,2,0.10000000149011612,1.0323891639709473
23,0,0,0,0,0,0,2,0.10000000149011612,1.0318341255187988
24,0,0,0,0,0,0,2,0.10000000149011612,1.031624436378479
25,0,0,0,0,0,0,0,0.30000001192092896,1.0317710638046265
26,0,0,0,0,1,1,0,0.30000001192092896,1.4177687168121338
27,0,0,0,0,1,1,2,0.30000001192092896,0.9139707088470459
28,0,0,0,0,1,1,2,0.30000001192092896,0.7201783657073975
29,0,0,0,0,1,1,0,1.0,0.6752365231513977
30,0,0,0,0,2,3,0,1.0,1.7630858421325684
31,0,0,0,0,2,2,0,1.0,1.0033437013626099
32,0,0,0,0,2,2,0,0.30000001192092896,0.8610014915466309
33,0,0,0,0,1,0,2,0.30000001192092896,1.8577178716659546
34,0,0,0,0,1,1,0,0.30000001192092896,1.2445485591888428
35,0,0,0,0,1,0,0,1.0,1.9354817867279053
36,0,0,0,0,2,2,0,1.0,1.7458372116088867
37,0,0,0,0,2,2,0,1.0,1.498085618019104
38,0,0,0,0,2,1,2,1.0,1.6940317153930664
39,0,0,0,0,2,2,0,0.30000001192092896,1.521977186203003
40,0,0,0,0,3,4,2,0.30000001192092896,2.251013994216919
41,0,0,0,0,3,3,2,0.30000001192092896,1.5784032344818115
42,0,0,0,0,3,3,2,0.30000001192092896,1.35715913772583
43,0,0,0,0,3,3,0,0.10000000149011612,1.2585909366607666
44,0,0,0,0,4,4,2,0.10000000149011612,1.7578034400939941
45,0,0,0,0,4,4,2,0.10000000149011612,1.313356637954712
46,0,0,0,0,4,4,0,0.10000000149011612,1.0746779441833496
47,0,0,0,0,4,4,0,0.10000000149011612,0.9873740673065186
48,0,0,0,0,4,3,0,0.10000000149011612,1.5867345333099365
49,0,0,0,0,4,4,0,0.10000000149011612,1.126422643661499
